stamp,d_fin,p_fin,s_fin,thruster
1684869343.58259,0,-0.111526541,0.109955743,0.5
1684869343.62387,0,-0.100530967,0.098960169,0.5
1684869343.66257,0,-0.100530967,0.098960169,0.5
1684869343.70219,0,-0.100530967,0.098960169,0.5
1684869343.74183,0,-0.103672557,0.102101758,0.5
1684869343.78139,0,-0.103672557,0.102101758,0.5
1684869343.82186,0,-0.103672557,0.102101758,0.5
1684869343.86224,0,-0.102101758,0.100530967,0.5
1684869343.90197,0,-0.102101758,0.100530967,0.5
1684869343.94129,0,-0.102101758,0.100530967,0.5
1684869343.98132,0,-0.07696902,0.075398222,0.5
1684869344.02211,0,-0.061261058,0.059690259,0.5
1684869344.06265,0,-0.061261058,0.059690259,0.5
1684869344.10273,0,-0.061261058,0.059690259,0.5
1684869344.14247,0,-0.056548666,0.054977871,0.5
1684869344.18204,0,-0.056548666,0.054977871,0.5
1684869344.22181,0,-0.056548666,0.054977871,0.5
1684869344.26163,0,-0.040840704,0.039269909,0.5
1684869344.30194,0,-0.040840704,0.039269909,0.5
1684869344.34177,0,-0.040840704,0.039269909,0.5
1684869344.38301,0,-0.04712389,0.045553092,0.5
1684869344.42192,0,-0.018849555,0.017278759,0.5
