stamp,altitude,depth,pressure,temperature
1684869348.38233,-804.711181641,0.998198211,111019.9921875,18.200000763
1684869348.42196,-804.711181641,0.998198211,111019.9921875,18.200000763
1684869348.46436,-838.678466797,1.042031288,111460,18.200000763
1684869348.50216,-850.232910156,1.056974292,111610,18.200000763
1684869348.54138,-838.678466797,1.042031288,111460,18.209999084
1684869348.5817,-816.30267334,1.013141274,111169.9921875,18.200000763
1684869348.62168,-816.30267334,1.013141274,111169.9921875,18.209999084
1684869348.6622,-838.678466797,1.042031288,111460,18.200000763
1684869348.7029,-850.232910156,1.056974292,111610,18.209999084
1684869348.74237,-816.30267334,1.013141274,111169.9921875,18.209999084
1684869348.78177,-850.232910156,1.056974292,111610,18.209999084
1684869348.8223,-827.882446289,1.028084397,111319.9921875,18.209999084
1684869348.86299,-861.006225586,1.070921183,111750,18.209999084
1684869348.90254,-850.232910156,1.056974292,111610,18.209999084
1684869348.94148,-827.882446289,1.028084397,111319.9921875,18.219999313
1684869348.98153,-884.055053711,1.100807428,112050,18.219999313
1684869349.02149,-850.232910156,1.056974292,111610,18.219999313
1684869349.0618,-850.232910156,1.056974292,111610,18.219999313
1684869349.10161,-884.055053711,1.100807428,112050,18.219999313
1684869349.14268,-861.006225586,1.070921183,111750,18.209999084
1684869349.18282,-906.287658691,1.129697323,112340,18.219999313
1684869349.22219,-906.287658691,1.129697323,112340,18.219999313
1684869349.26175,-906.287658691,1.129697323,112340,18.219999313
1684869349.30266,-884.055053711,1.100807428,112050,18.219999313
1684869349.34294,-906.287658691,1.129697323,112340,18.219999313
1684869349.38256,-894.794128418,1.114754319,112190,18.219999313
1684869349.42146,-884.055053711,1.100807428,112050,18.219999313
1684869349.46179,-894.794128418,1.114754319,112190,18.219999313
1684869349.50183,-906.287658691,1.129697323,112340,18.219999313
1684869349.54281,-884.055053711,1.100807428,112050,18.219999313
1684869349.58307,-906.287658691,1.129697323,112340,18.219999313
1684869349.62254,-894.794128418,1.114754319,112190,18.219999313
1684869349.66177,-928.473876953,1.158587337,112630.0078125,18.219999313
1684869349.70259,-917.004333496,1.143644214,112480.0078125,18.219999313
1684869349.74282,-917.004333496,1.143644214,112480.0078125,18.219999313
1684869349.78264,-939.931152344,1.173530459,112780.0078125,18.219999313
1684869349.82261,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869349.86179,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869349.90163,-894.794128418,1.114754319,112190,18.219999313
1684869349.9413,-917.004333496,1.143644214,112480.0078125,18.219999313
1684869349.98204,-917.004333496,1.143644214,112480.0078125,18.219999313
1684869350.02359,-917.004333496,1.143644214,112480.0078125,18.219999313
1684869350.06269,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.1024,-950.612976074,1.18747735,112919.9921875,18.229999542
1684869350.14188,-939.931152344,1.173530459,112780.0078125,18.229999542
1684869350.18196,-894.794128418,1.114754319,112190,18.229999542
1684869350.22273,-917.004333496,1.143644214,112480.0078125,18.229999542
1684869350.26242,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.30232,-894.794128418,1.114754319,112190,18.229999542
1684869350.34191,-928.473876953,1.158587337,112630.0078125,18.219999313
1684869350.38156,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.4227,-950.612976074,1.18747735,112919.9921875,18.229999542
1684869350.46261,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.50283,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.54246,-962.047302246,1.202420354,113069.9921875,18.229999542
1684869350.58209,-939.931152344,1.173530459,112780.0078125,18.219999313
1684869350.62176,-950.612976074,1.18747735,112919.9921875,18.229999542
1684869350.66298,-950.612976074,1.18747735,112919.9921875,18.219999313
1684869350.70138,-950.612976074,1.18747735,112919.9921875,18.219999313
1684869350.74222,-950.612976074,1.18747735,112919.9921875,18.219999313
1684869350.78244,-939.931152344,1.173530459,112780.0078125,18.229999542
1684869350.82123,-917.004333496,1.143644214,112480.0078125,18.229999542
1684869350.86217,-928.473876953,1.158587337,112630.0078125,18.229999542
1684869350.90207,-939.931152344,1.173530459,112780.0078125,18.229999542
1684869350.94274,-962.047302246,1.202420354,113069.9921875,18.229999542
1684869350.98254,-972.707946777,1.216367245,113210,18.239999771
1684869351.02227,-939.931152344,1.173530459,112780.0078125,18.229999542
1684869351.06187,-950.612976074,1.18747735,112919.9921875,18.229999542
1684869351.10161,-939.931152344,1.173530459,112780.0078125,18.229999542
1684869351.14172,-962.047302246,1.202420354,113069.9921875,18.229999542
1684869351.18211,-984.117675781,1.231310368,113360,18.229999542
