stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch
1684869338.46271,-0.0024145,-0.00148705,-0.00186075,-0.034233931,3.899368525,9.072475433,-0.003489704
1684869338.50211,-0.00258995,-0.00139351,-0.00194043,0.00143066,3.757915974,9.015011787,0.000145837
1684869338.54261,-0.00296944,-0.00129842,-0.00201538,0.026136089,3.651148558,9.027794838,0.002664232
1684869338.58242,-0.00294568,-0.00122945,-0.00208103,0.042626191,3.654182673,9.079549789,0.004345191
1684869338.62327,-0.0035754,-0.00110933,-0.00214209,0.05708351,3.592080593,9.2242136,0.005818943
1684869338.66198,-0.00344422,-0.00090155,-0.00217642,0.092385776,3.497355938,9.1726408,0.00941765
1684869338.70176,-0.00334988,-0.0006517,-0.00220179,0.033905029,3.594557762,9.354685783,0.003456177
1684869338.74291,-0.00324217,-0.00049016,-0.00223108,0.064172521,3.438909769,9.258533478,0.006541588
1684869338.7814,-0.00309785,-0.00038421,-0.00220881,0.061332472,3.219897985,9.286182404,0.006252077
1684869338.82137,-0.00292109,-0.00030678,-0.00222812,0.134368896,3.247666597,9.466647148,0.013697564
1684869338.86128,-0.00259159,-0.00025807,-0.00223802,0.037805941,3.229908705,9.359563828,0.003853826
1684869338.90299,-0.00255864,-0.00018885,-0.00225253,-0.01541756,3.145703077,9.344061852,-0.001571617
1684869338.9442,-0.00228499,-0.00017221,-0.00225283,0.022116009,3.109362841,9.441796303,0.002254437
1684869338.98184,-0.00236348,-0.00012538,-0.00227642,0.02908951,3.1324265,9.459682465,0.002965296
1684869339.02212,-0.00218687,-0.00004751,-0.00225394,0.018046951,3.077137709,9.394478798,0.001839649
1684869339.06212,-0.0020845,0.0000027,-0.00226831,0.047864068,2.825150967,9.486124992,0.004879129
1684869339.103,-0.00178758,0.00002843,-0.00225941,0.05521645,2.875514269,9.61786747,0.005628618
1684869339.14199,-0.00170431,0.00000829,-0.00229654,-0.02367226,2.9964993,9.479086876,-0.002413077
1684869339.18178,-0.001375,0.00001624,-0.0022549,-0.039099731,2.796901703,9.465457916,-0.003985712
1684869339.22171,-0.00135189,0.00000676,-0.00226414,-0.081729971,2.822056293,9.464689255,-0.008331388
1684869339.2623,-0.00115236,0.00002373,-0.00229229,-0.05540619,2.904226303,9.533102989,-0.00564796
1684869339.30301,-0.00107786,0.00006958,-0.00229735,-0.081552133,2.832679987,9.554197311,-0.008313259
1684869339.34294,-0.00098976,0.00006412,-0.00232525,-0.00007294,2.724548578,9.553351402,-0.000007435
1684869339.38163,-0.00094317,0.00008676,-0.00235333,0.00284256,2.801183939,9.657606125,0.000289761
1684869339.42231,-0.00098498,0.00007773,-0.00237185,-0.185641095,2.933281898,9.495124817,-0.018924789
1684869339.46304,-0.0011192,0.00010637,-0.00239059,-0.0655175,2.669355631,9.632261276,-0.006678694
1684869339.50282,-0.00106814,0.0001153,-0.0023907,-0.121343762,2.705937386,9.570300102,-0.01236971
1684869339.54272,-0.00104037,0.00011527,-0.00236748,-0.154177397,2.772706747,9.605014801,-0.015716997
1684869339.58194,-0.00098444,0.00015182,-0.00239104,-0.181969687,2.64114809,9.557063103,-0.018550471
1684869339.6214,-0.0008777,0.00016962,-0.0023959,-0.118861243,2.634367943,9.663624763,-0.012116631
1684869339.66116,-0.00067839,0.0001542,-0.00240053,-0.206641927,2.724099636,9.570711136,-0.021065975
1684869339.70124,-0.00048816,0.00017604,-0.00241013,-0.157636717,2.538922548,9.659223557,-0.016069674
1684869339.74387,-0.00035849,0.0001519,-0.00241,-0.182219997,2.555063963,9.652869225,-0.018575992
1684869339.78262,-0.00029797,0.00018862,-0.00240103,-0.226850882,2.687953949,9.766226768,-0.023126514
1684869339.82198,-0.00027457,0.00022093,-0.0024013,-0.309521168,2.678053856,9.636668205,-0.031556834
1684869339.86149,-0.00037641,0.00023529,-0.0024432,-0.263927609,2.460106611,9.644553185,-0.026907182
1684869339.90253,-0.00026508,0.00024387,-0.00243891,-0.244285658,2.558049917,9.762376785,-0.024904272
1684869339.94341,-0.00023234,0.0002899,-0.00246699,-0.303587705,2.70001936,9.691885948,-0.030951701
1684869339.98266,-0.00039907,0.00030937,-0.00249958,-0.305706173,2.531625509,9.718008041,-0.031167755
1684869340.02237,-0.00047309,0.00033788,-0.00248584,-0.400828928,2.524087429,9.675415039,-0.040870595
1684869340.06155,-0.00055211,0.0003059,-0.00249948,-0.370574027,2.651242971,9.671110153,-0.03778412
1684869340.10226,-0.00052932,0.00024553,-0.00246644,-0.353487998,2.58714962,9.621723175,-0.036041237
