stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch_deg,roll_deg,orientation/w,orientation/x,orientation/y,yaw_deg,orientation/z
1686731149.14071,0,0.002909978,0,0.003896406,0,9.790797067,-0.022780369,0,0.99999998,0,-0.000198796,0,0
1686731149.18072,0,0.002872357,0,0.002764866,0,9.790916419,-0.016164811,0,0.99999999,0,-0.000141065,0,0
1686731149.22107,0,0.002497074,0,0.001719671,0,9.792103407,-0.010054072,0,0.999999996,0,-0.000087738,0,0
1686731149.26113,0,0.002281483,0,0.000793375,0,9.792785285,-0.004638474,0,0.999999999,0,-0.000040478,0,0
1686731149.30013,0,0.001891997,0,-0.000014588,0,9.794016981,0.00008529,0,1,0,0.000000744,0,0
1686731149.33999,0,0.001676538,0,-0.000703726,0,9.794698297,0.004114341,0,0.999999999,0,0.000035904,0,0
1686731149.38006,0,0.001572757,0,-0.001335629,0,9.795026414,0.007808768,0,0.999999998,0,0.000068144,0,0
1686731149.42018,0,0.001135408,0,-0.001857157,0,9.796409348,0.010857881,0,0.999999996,0,0.000094753,0,0
1686731149.46095,0,0.000886977,0,-0.002241674,0,9.797194878,0.013105964,0,0.999999993,0,0.000114371,0,0
1686731149.4994,0,0.000537426,0,-0.002511053,0,9.798300187,0.014680893,0,0.999999992,0,0.000128115,0,0
1686731149.53892,0,0.000346641,0,-0.002675215,0,9.798903461,0.015640664,0,0.999999991,0,0.000136491,0,0
1686731149.5792,0,0.000254744,0,-0.002788695,0,9.79919403,0.016304129,0,0.99999999,0,0.00014228,0,0
1686731149.62081,0,-0.000048401,0,-0.002814654,0,9.800152652,0.016455899,0,0.99999999,0,0.000143605,0,0
1686731149.66075,0,-0.000194417,0,-0.002760085,0,9.800614413,0.016136861,0,0.99999999,0,0.000140821,0,0
1686731149.69998,0,-0.000366101,0,-0.002645062,0,9.801157357,0.015464375,0,0.999999991,0,0.000134952,0,0
1686731149.74013,0,-0.00045868,0,-0.002478981,0,9.80145016,0.014493384,0,0.999999992,0,0.000126479,0,0
1686731149.78083,0,-0.000503273,0,-0.002288308,0,9.801591221,0.01337861,0,0.999999993,0,0.00011675,0,0
1686731149.82092,0,-0.00058214,0,-0.002073521,0,9.801840668,0.012122856,0,0.999999994,0,0.000105792,0,0
1686731149.861,0,-0.000625724,0,-0.001834697,0,9.80197854,0.010726572,0,0.999999996,0,0.000093607,0,0
1686731149.90016,0,-0.000643235,0,-0.00158504,0,9.802033959,0.00926695,0,0.999999997,0,0.000080869,0,0
1686731149.94073,0,-0.00065133,0,-0.001330919,0,9.802059596,0.007781226,0,0.999999998,0,0.000067904,0,0
1686731149.9827,0,-0.000655229,0,-0.001074647,0,9.802071958,0.00628293,0,0.999999998,0,0.000054829,0,0
1686731150.02079,0,-0.000605085,0,-0.00082846,0,9.80191341,0.004843599,0,0.999999999,0,0.000042268,0,0
1686731150.06091,0,-0.000575858,0,-0.000598392,0,9.801821006,0.003498502,0,1,0,0.00003053,0,0
1686731150.10114,0,-0.000508084,0,-0.000387566,0,9.801606694,0.002265908,0,1,0,0.000019774,0,0
1686731150.14083,0,-0.000470202,0,-0.000197632,0,9.801486909,0.001155457,0,1,0,0.000010083,0,0
1686731150.18053,0,-0.000451956,0,-0.000017761,0,9.801429211,0.000103838,0,1,0,0.000000906,0,0
1686731150.22097,0,-0.000358751,0,0.000139218,0,9.801134471,-0.000813937,0,1,0,-0.000007103,0,0
1686731150.26084,0,-0.000305626,0,0.000266897,0,9.80096647,-0.001560417,0,1,0,-0.000013617,0,0
1686731150.3007,0,-0.000224335,0,0.000368557,0,9.800709403,-0.002154771,0,1,0,-0.000018804,0,0
1686731150.33816,0,-0.000179748,0,0.000445627,0,9.800568402,-0.00260536,0,1,0,-0.000022736,0,0
1686731150.3779,0,-0.000158271,0,0.000510852,0,9.800500485,-0.002986702,0,1,0,-0.000026064,0,0
1686731150.41777,0,-0.000077293,0,0.000553154,0,9.800244405,-0.003234017,0,1,0,-0.000028222,0,0
1686731150.459,0,-0.000038287,0,0.000573944,0,9.800121058,-0.003355566,0,1,0,-0.000029283,0,0
1686731150.50091,0,0.000015879,0,0.000575748,0,9.79994977,-0.003366113,0,1,0,-0.000029375,0,0
1686731150.54075,0,0.000041969,0,0.000563163,0,9.799867266,-0.003292536,0,1,0,-0.000028733,0,0
1686731150.58086,0,0.000054536,0,0.000543647,0,9.799827527,-0.003178439,0,1,0,-0.000027737,0,0
1686731150.62079,0,0.000086348,0,0.000515287,0,9.799726931,-0.00301263,0,1,0,-0.00002629,0,0
1686731150.661,0,0.000104182,0,0.000477091,0,9.799670534,-0.002789316,0,1,0,-0.000024341,0,0
1686731150.70077,0,0.00012003,0,0.000432606,0,9.799620421,-0.002529233,0,1,0,-0.000022072,0,0
1686731150.74077,0,0.000128372,0,0.00038352,0,9.799594046,-0.002242255,0,1,0,-0.000019567,0,0
1686731150.78021,0,0.000132389,0,0.000332219,0,9.799581342,-0.001942323,0,1,0,-0.00001695,0,0
1686731150.82086,0,0.000131444,0,0.000280467,0,9.799584334,-0.001639751,0,1,0,-0.00001431,0,0
1686731150.86082,0,0.000130707,0,0.00022912,0,9.799586665,-0.001339554,0,1,0,-0.00001169,0,0
1686731150.89975,0,0.000121706,0,0.000180077,0,9.799615129,-0.001052823,0,1,0,-0.000009188,0,0
1686731150.94008,0,0.000117371,0,0.000133425,0,9.799628839,-0.000780072,0,1,0,-0.000006807,0,0
1686731150.98084,0,0.000115283,0,0.000087925,0,9.799635444,-0.000514054,0,1,0,-0.000004486,0,0
1686731151.01969,0,0.000098362,0,0.000046381,0,9.799688951,-0.000271169,0,1,0,-0.000002366,0,0
1686731151.06102,0,0.000088661,0,0.000010188,0,9.799719631,-0.000059567,0,1,0,-0.00000052,0,0
1686731151.10099,0,0.00007193,0,-0.00002085,0,9.799772537,0.000121898,0,1,0,0.000001064,0,0
1686731151.14077,0,0.000062696,0,-0.000046795,0,9.799801738,0.000273589,0,1,0,0.000002388,0,0
1686731151.17828,0,0.000058248,0,-0.000070288,0,9.799815803,0.000410938,0,1,0,0.000003586,0,0
1686731151.21747,0,0.000038826,0,-0.000088386,0,9.799877222,0.000516751,0,1,0,0.00000451,0,0
1686731151.25734,0,0.000029471,0,-0.000101325,0,9.799906805,0.000592399,0,1,0,0.00000517,0,0
1686731151.29774,0,0.000024964,0,-0.000111779,0,9.799921055,0.000653518,0,1,0,0.000005703,0,0
1686731151.33851,0,0.00000918,0,-0.000117717,0,9.799970971,0.000688235,0,1,0,0.000006006,0,0
1686731151.38072,0,0.000001577,0,-0.000119462,0,9.799995014,0.000698437,0,1,0,0.000006095,0,0
1686731151.42075,0,-0.000007949,0,-0.000117934,0,9.800025135,0.000689503,0,1,0,0.000006017,0,0
1686731151.46338,0,-0.000013109,0,-0.00011356,0,9.800041452,0.000663932,0,1,0,0.000005794,0,0
1686731151.5008,0,-0.000018977,0,-0.000107093,0,9.800060011,0.000626118,0,1,0,0.000005464,0,0
1686731151.54013,0,-0.000022134,0,-0.000098884,0,9.800069993,0.000578126,0,1,0,0.000005045,0,0
1686731151.58063,0,-0.000023655,0,-0.000089837,0,9.800074802,0.000525232,0,1,0,0.000004584,0,0
1686731151.62086,0,-0.00002584,0,-0.000080075,0,9.800081712,0.00046816,0,1,0,0.000004085,0,0
1686731151.661,0,-0.000027034,0,-0.000069655,0,9.800085489,0.000407237,0,1,0,0.000003554,0,0
1686731151.70003,0,-0.00002699,0,-0.00005905,0,9.800085351,0.000345234,0,1,0,0.000003013,0,0
1686731151.74094,0,-0.000026909,0,-0.000048489,0,9.800085093,0.000283492,0,1,0,0.000002474,0,0
1686731151.78103,0,-0.00002687,0,-0.00003795,0,9.80008497,0.000221878,0,1,0,0.000001936,0,0
1686731151.82077,0,-0.000024287,0,-0.00002797,0,9.800076803,0.000163528,0,1,0,0.000001427,0,0
1686731151.86228,0,-0.000022793,0,-0.000018814,0,9.800072079,0.000109994,0,1,0,0.00000096,0,0
1686731151.90106,0,-0.000019715,0,-0.000010558,0,9.800062343,0.00006173,0,1,0,0.000000539,0,0
1686731151.93989,0,-0.000018002,0,-0.000003248,0,9.800056926,0.000018989,0,1,0,0.000000166,0,0
1686731151.98073,0,-0.000017176,0,0.000003608,0,9.800054317,-0.000021092,0,1,0,-0.000000184,0,0
1686731152.02001,0,-0.000013277,0,0.000009495,0,9.800041984,-0.000055513,0,1,0,-0.000000484,0,0
1686731152.06096,0,-0.000011057,0,0.000014158,0,9.800034964,-0.000082777,0,1,0,-0.000000722,0,0
1686731152.10127,0,-0.00000776,0,0.000017756,0,9.80002454,-0.000103809,0,1,0,-0.000000906,0,0
1686731152.14056,0,-0.000005955,0,0.000020358,0,9.800018832,-0.000119022,0,1,0,-0.000001039,0,0
1686731152.17993,0,-0.000005086,0,0.00002248,0,9.800016082,-0.000131431,0,1,0,-0.000001147,0,0
1686731152.2197,0,-0.000002189,0,0.000023842,0,9.800006921,-0.000139392,0,1,0,-0.000001216,0,0
1686731152.26082,0,-0.000000552,0,0.000024301,0,9.800001744,-0.000142075,0,1,0,-0.00000124,0,0
1686731152.29991,0,0.000001449,0,0.000024066,0,9.799995419,-0.0001407,0,1,0,-0.000001228,0,0
1686731152.34023,0,0.00000253,0,0.000023234,0,9.799991999,-0.000135839,0,1,0,-0.000001185,0,0
1686731152.38108,0,0.000003051,0,0.000022115,0,9.799990351,-0.000129298,0,1,0,-0.000001128,0,0
1686731152.42008,0,0.000004215,0,0.000020663,0,9.799986672,-0.000120807,0,1,0,-0.000001054,0,0
1686731152.46273,0,0.000004864,0,0.000018853,0,9.799984619,-0.000110223,0,1,0,-0.000000962,0,0
1686731152.50006,0,0.000005368,0,0.000016829,0,9.799983026,-0.000098391,0,1,0,-0.000000859,0,0
1686731152.53993,0,0.000005629,0,0.000014661,0,9.799982199,-0.000085716,0,1,0,-0.000000748,0,0
1686731152.5802,0,0.000005755,0,0.000012424,0,9.799981801,-0.000072636,0,1,0,-0.000000634,0,0
1686731152.62087,0,0.000005564,0,0.000010207,0,9.799982406,-0.000059675,0,1,0,-0.000000521,0,0
1686731152.66113,0,0.000005447,0,0.000008054,0,9.799982775,-0.00004709,0,1,0,-0.000000411,0,0
1686731152.70062,0,0.000004996,0,0.000006017,0,9.799984201,-0.00003518,0,1,0,-0.000000307,0,0
1686731152.74081,0,0.00000474,0,0.000004121,0,9.79998501,-0.000024095,0,1,0,-0.00000021,0,0
1686731152.78057,0,0.000004617,0,0.000002293,0,9.7999854,-0.000013407,0,1,0,-0.000000117,0,0
1686731152.81781,0,0.000003839,0,0.000000651,0,9.79998786,-0.000003808,0,1,0,-0.000000033,0,0
1686731152.85766,0,0.000003394,0,-0.000000745,0,9.799989267,0.000004355,0,1,0,0.000000038,0,0
1686731152.89792,0,0.00000318,0,-0.000002023,0,9.799989945,0.000011828,0,1,0,0.000000103,0,0
1686731152.93847,0,0.000002255,0,-0.000003044,0,9.799992871,0.000017797,0,1,0,0.000000155,0,0
1686731152.98078,0,0.000001809,0,-0.000003819,0,9.79999428,0.000022329,0,1,0,0.000000195,0,0
1686731153.01995,0,0.000001154,0,-0.000004382,0,9.79999635,0.000025619,0,1,0,0.000000224,0,0
1686731153.06092,0,0.000000796,0,-0.000004747,0,9.799997482,0.000027754,0,1,0,0.000000242,0,0
1686731153.10032,0,0.000000293,0,-0.000004947,0,9.799999072,0.00002892,0,1,0,0.000000252,0,0
1686731153.14018,0,0.000000019,0,-0.000004995,0,9.799999939,0.000029202,0,1,0,0.000000255,0,0
1686731153.18087,0,-0.000000113,0,-0.00000497,0,9.800000357,0.000029058,0,1,0,0.000000254,0,0
1686731153.2203,0,-0.000000482,0,-0.000004845,0,9.800001524,0.000028326,0,1,0,0.000000247,0,0
1686731153.26021,0,-0.000000689,0,-0.000004605,0,9.80000218,0.000026926,0,1,0,0.000000235,0,0
1686731153.30096,0,-0.000000904,0,-0.000004286,0,9.800002858,0.00002506,0,1,0,0.000000219,0,0
